time_tag_seconds,record_tine,full_observable,observable_int,observable_frac,receiving_station_id,transmitting_station_id,data_type_id,data_validity,format_id
2051385612,2015-01-02 21:20:12,-841457.20240116,-841457,-202401160,35,0,11,0,2
2051385617,2015-01-02 21:20:17,-841449.536668776,-841449,-536668776,35,0,11,0,2
2051385622,2015-01-02 21:20:22,-841441.779811858,-841441,-779811858,35,0,11,0,2
2051385627,2015-01-02 21:20:27,-841434.146040915,-841434,-146040915,35,0,11,0,2
2051385632,2015-01-02 21:20:32,-841426.498896598,-841426,-498896598,35,0,11,0,2
2051385637,2015-01-02 21:20:37,-841418.694268226,-841418,-694268226,35,0,11,0,2
2051385642,2015-01-02 21:20:42,-841411.034402846,-841411,-34402846,35,0,11,0,2
2051385647,2015-01-02 21:20:47,-841403.388420104,-841403,-388420104,35,0,11,0,2
2051385652,2015-01-02 21:20:52,-841395.738837241,-841395,-738837241,35,0,11,0,2
2051385657,2015-01-02 21:20:57,-841388.156265258,-841388,-156265258,35,0,11,0,2
2051385662,2015-01-02 21:21:02,-841380.564655303,-841380,-564655303,35,0,11,0,2
2051385667,2015-01-02 21:21:07,-841372.891714095,-841372,-891714095,35,0,11,0,2
2051385672,2015-01-02 21:21:12,-841365.314511298,-841365,-314511298,35,0,11,0,2
2051385677,2015-01-02 21:21:17,-841357.707572936,-841357,-707572936,35,0,11,0,2
2051385682,2015-01-02 21:21:22,-841350.094263076,-841350,-94263076,35,0,11,0,2
2051385687,2015-01-02 21:21:27,-841342.504782676,-841342,-504782676,35,0,11,0,2
2051385692,2015-01-02 21:21:32,-841334.914918899,-841334,-914918899,35,0,11,0,2
2051385697,2015-01-02 21:21:37,-841327.330526351,-841327,-330526351,35,0,11,0,2
2051385702,2015-01-02 21:21:42,-841319.690285682,-841319,-690285682,35,0,11,0,2
2051385707,2015-01-02 21:21:47,-841312.144057273,-841312,-144057273,35,0,11,0,2
2051385712,2015-01-02 21:21:52,-841304.614405631,-841304,-614405631,35,0,11,0,2
2051385717,2015-01-02 21:21:57,-841297.020565986,-841297,-20565986,35,0,11,0,2
2051385722,2015-01-02 21:22:02,-841289.625625609,-841289,-625625609,35,0,11,0,2
2051385727,2015-01-02 21:22:07,-841282.048649787,-841282,-48649787,35,0,11,0,2
2051385732,2015-01-02 21:22:12,-841274.476916312,-841274,-476916312,35,0,11,0,2
2051385737,2015-01-02 21:22:17,-841266.963741301,-841266,-963741301,35,0,11,0,2
2051385742,2015-01-02 21:22:22,-841259.473969459,-841259,-473969459,35,0,11,0,2
2051385747,2015-01-02 21:22:27,-841251.963572501,-841251,-963572501,35,0,11,0,2
2051385752,2015-01-02 21:22:32,-841244.401204108,-841244,-401204108,35,0,11,0,2
2051385757,2015-01-02 21:22:37,-841236.86498928,-841236,-864989280,35,0,11,0,2
2051385762,2015-01-02 21:22:42,-841229.308654784,-841229,-308654784,35,0,11,0,2
2051385767,2015-01-02 21:22:47,-841221.773034095,-841221,-773034095,35,0,11,0,2
2051385772,2015-01-02 21:22:52,-841214.320352553,-841214,-320352553,35,0,11,0,2
2051385777,2015-01-02 21:22:57,-841206.80507183,-841206,-805071830,35,0,11,0,2
2051385782,2015-01-02 21:23:02,-841199.313518523,-841199,-313518523,35,0,11,0,2
2051385787,2015-01-02 21:23:07,-841191.814986228,-841191,-814986228,35,0,11,0,2
2051385792,2015-01-02 21:23:12,-841184.37071514,-841184,-370715140,35,0,11,0,2
2051385797,2015-01-02 21:23:17,-841176.907700538,-841176,-907700538,35,0,11,0,2
2051385802,2015-01-02 21:23:22,-841169.518037795,-841169,-518037795,35,0,11,0,2
2051385807,2015-01-02 21:23:27,-841162.041498183,-841162,-41498183,35,0,11,0,2
2051385812,2015-01-02 21:23:32,-841154.591641425,-841154,-591641425,35,0,11,0,2
2051385817,2015-01-02 21:23:37,-841147.096459388,-841147,-96459388,35,0,11,0,2
2051385822,2015-01-02 21:23:42,-841139.694786071,-841139,-694786071,35,0,11,0,2
2051385827,2015-01-02 21:23:47,-841132.271348952,-841132,-271348952,35,0,11,0,2
2051385832,2015-01-02 21:23:52,-841124.826581,-841124,-826581000,35,0,11,0,2
2051385837,2015-01-02 21:23:57,-841117.397373198,-841117,-397373198,35,0,11,0,2
